issue_id,result_date,results,sale_amount_R9,prize_count_R9,prize_R9,sale_amount_14,prize_count_14_1,prize_14_1,prize_count_14_2,prize_14_2
16097,2016/7/8,3 3 3 1 1 1 0 3 3 0 0 3 1 0,8714840,182,30645,10381364,2,2325425,33,60400
16098,2016/7/10,0 3 3 1 0 0 3 1 3 1 0 3 1 3,9948388,11665,545,9776506,50,87597,1416,1325
16099,2016/7/11,3 1 1 3 3 0 1 0 3 3 3 3 3 1,8610568,5424,1015,9586626,21,204514,547,3364
16100,2016/7/14,1 3 0 3 3 1 3 0 1 3 3 0 0 1,8766032,3978,1410,16777368,32,234883,4970,648
16101,2016/7/15,1 1 1 1 3 1 1 3 1 1 1 0 3 1,103768,3,22137,14486442,1,5000000,15,185426
16102,2016/7/17,0 0 3 3 3 1 0 1 1 3 0 1 3 1,8354118,227,23553,7715656,0,0,19,77968
16103,2016/7/18,1 1 1 1 3 3 1 1 3 0 1 1 1 3,9758192,60,104087,14701834,0,0,4,705688
16104,2016/7/21,3 1 1 3 3 3 0 3 1 3 0 3 3 1,9471556,40883,148,36524028,1182,23600,25613,273
16105,2016/7/22,3 3 1 3 1 3 1 3 0 1 0 3 0 0,11740056,648,11595,14143760,0,0,114,23821
16106,2016/7/24,0 0 3 3 0 3 3 1 0 1 0 3 1 0,10221374,141,46394,15327022,2,5000000,35,84079
16107,2016/7/25,0 0 3 0 1 1 1 3 3 3 0 3 0 1,9826980,221,28458,10926074,2,4048895,47,44634
16108,2016/7/28,1 3 0 1 1 1 3 1 3 1 3 1 3 1,11823266,5797,1305,15748626,34,207511,835,3621
16109,2016/7/29,1 1 0 0 3 1 0 1 3 3 3 1 3 1,11733952,486,15452,11498104,1,5000000,116,19031
16110,2016/7/31,1 3 0 0 3 0 3 1 1 0 0 1 3 3,8918438,771,7403,7563412,5,707911,102,14237
16111,2016/8/2,1 3 1 3 0 3 0 0 0 1 3 3 1 0,9983608,147,43466,9958788,0,0,13,147083
16112,2016/8/4,3 3 1 3 0 1 3 3 3 3 3 0 3 0,10928658,802,8721,14935758,5,2230551,115,24936
16113,2016/8/5,3 0 0 0 0 1 3 3 0 3 3 0 3 1,12044140,31,248653,11253566,0,0,4,540171
16114,2016/8/6,0 3 3 0 1 1 1 3 1 3 1 3 1 1,9600404,1223,5023,8170430,6,1450325,115,13641
16115,2016/8/7,1 0 3 1 3 3 3 1 3 3 3 0 0 0,8097976,2626,1973,6052762,15,180775,468,2483
16116,2016/8/8,3 1 3 3 0 3 0 0 0 3 0 3 1 3,8910348,1559,3657,7605908,8,425930,188,7767
16117,2016/8/13,1 3 3 0 1 1 0 3 0 3 0 3 0 1,10065326,254,25361,6248702,0,0,3,399916
16118,2016/8/14,0 0 1 1 1 3 3 3 1 3 0 3 3 3,11327610,165,43937,9844090,0,0,4,472516
16119,2016/8/15,0 0 1 3 0 0 3 1 0 0 1 1 3 1,10982912,597,11773,13104424,2,5000000,71,35437
16120,2016/8/18,1 3 1 0 0 3 0 0 1 3 1 3 0 3,12230168,12561,623,13638142,153,60066,3409,768
16121,2016/8/19,0 0 0 3 3 3 3 0 1 0 3 3 1 3,11820294,16685,453,8949678,95,42204,2173,790
16122,2016/8/20,3 1 3 3 3 0 0 0 1 1 3 0 0 3,11661702,1418,5263,8825930,3,1318005,116,14608
16123,2016/8/21,0 3 0 0 1 3 3 3 3 1 3 0 0 0,15674824,2257,4444,16992126,8,951559,252,12946
16124,2016/8/22,3 3 3 0 3 0 3 1 0 3 0 1 3 3,16836598,759,14196,15345472,2,3437385,55,53569
16125,2016/8/25,1 1 3 0 3 0 1 3 1 1 3 3 3 1,10300004,521,12652,9696708,0,0,34,54757
16126,2016/8/26,3 0 3 0 1 3 1 3 3 3 1 3 0 3,12049276,679,11357,15984662,1,5000000,93,33000
16127,2016/8/27,3 0 0 1 1 1 1 1 3 1 0 1 1 3,13089450,882,9498,9092550,2,5000000,91,19184
16128,2016/8/28,3 1 3 3 1 0 0 3 3 3 0 1 3 0,17552710,53836,208,19943426,467,20371,9074,421
16129,2016/8/29,3 1 1 1 0 3 3 3 3 3 1 3 0 1,16081924,5653,1820,15620988,31,225748,859,3491
16130,2016/9/2,3 1 3 0 0 0 3 0 3 3 3 3 3 0,11204092,1898,3777,15540580,9,773575,410,7277
16131,2016/9/6,1 1 0 1 0 1 0 0 1 3 0 3 1 1,14742416,28544,330,2596134,277,41988,5521,902
16132,2016/9/7,1 0 1 0 0 1 1 1 3 0 1 3 1 3,11954930,233,32837,24805734,2,5000000,36,132297
16133,2016/9/10,0 0 3 0 1 0 1 0 1 3 0 3 3 3,12987616,199,41769,9576996,0,0,7,262683
16134,2016/9/11,3 3 1 0 0 0 3 3 0 3 3 1 3 3,18101990,1760,6582,21639580,9,1677554,257,16166
16135,2016/9/15,1 0 1 1 0 3 3 0 * 0 0 0 0 3,15508600,224,44310,14280812,2,3198901,33,83088
16136,2016/9/15,1 1 0 1 3 3 0 1 0 0 0 1 1 3,15278520,5193,1882,23970648,16,671178,452,10182
16137,2016/9/16,3 3 0 1 0 1 3 0 1 1 0 1 0 3,12587534,87,92597,8421896,0,0,5,323400
16138,2016/9/17,0 3 0 0 3 * 3 1 1 1 3 0 3 1,10553132,818,8256,7346648,0,0,62,22750
16139,2016/9/18,0 3 3 3 3 3 3 3 0 1 3 3 1 3,17425534,146087,76,27983466,2367,8280,36485,147
16140,2016/9/19,3 3 3 0 3 3 3 3 3 1 1 3 0 3,17545294,4084,2749,15260440,7,976668,324,9043
16141,2016/9/21,0 3 1 0 3 3 3 0 3 3 1 1 3 1,15869902,7534,1348,11818250,15,352971,605,3750
16142,2016/9/22,1 3 0 1 0 3 3 3 0 1 3 1 1 0,16703240,3264,3275,20423312,6,1524940,247,15875
16143,2016/9/24,3 3 1 1 3 3 0 0 1 1 3 3 0 0,15461362,311,31817,10017608,1,4487888,20,96169
16144,2016/9/25,3 3 0 1 0 0 3 3 1 3 0 0 3 0,18794586,28322,424,22406354,230,43643,5026,855
16145,2016/9/26,0 3 1 1 1 3 3 1 3 3 0 3 0 3,17675980,0,530490,16233442,10,727258,404,7714
16146,2016/9/29,1 0 1 3 3 3 3 0 3 0 3 0 1 3,17001838,37441,290,26457460,392,30237,10757,472
16147,2016/9/30,3 3 3 3 3 1 3 1 3 3 1 3 3 3,16381126,179722,58,20049284,3215,2793,41864,91
16148,2016/10/1,1 3 3 0 3 3 3 1 3 1 3 0 1 3,12928096,3182,2600,8041246,26,138556,448,3446
16149,2016/10/2,0 1 1 1 3 3 1 1 0 3 0 0 3 3,16670694,971,10987,15179494,4,1700103,120,24287
16150,2016/10/3,1 3 0 3 3 3 0 3 3 1 3 3 1 1,17647314,75,150590,20562274,0,0,14,281996
16151,2016/10/7,0 0 3 1 1 0 3 1 0 0 3 1 0 3,13166180,23886,352,35280082,390,64147,14185,477
16152,2016/10/9,3 0 3 0 3 3 3 0 3 3 3 3 1 3,11098206,115017,61,25290922,1576,7189,31005,156
16153,2016/10/11,1 3 0 3 0 3 1 0 3 0 0 0 3 0,10988594,73996,95,28853118,1831,7059,36116,153
16154,2016/10/12,3 3 3 3 1 3 1 3 3 0 3 3 3 1,12010402,21413,358,25786872,246,46961,6245,792
16155,2016/10/15,1 0 0 1 1 3 3 3 0 0 3 1 1 3,13746482,100,87977,7708152,0,0,2,739982
16156,2016/10/16,3 3 1 3 1 0 3 1 1 1 3 3 3 3,18843212,10256,1175,30411194,45,379499,1237,4720
16157,2016/10/17,3 3 0 1 0 1 3 0 3 0 3 1 1 3,16063482,1398,7353,19562358,9,973770,313,11999
16158,2016/10/20,1 1 3 0 0 3 0 0 3 3 0 3 3 0,14521382,164748,56,32532672,1946,7489,71322,87
16159,2016/10/21,1 0 0 0 3 1 3 3 3 1 0 1 3 1,16412368,668,15724,15140074,0,0,34,85496
16160,2016/10/22,0 0 3 3 0 3 3 3 3 3 1 3 0 3,13565422,5227,1660,12684136,18,692513,739,3295
16161,2016/10/23,1 3 0 3 1 3 3 0 1 3 3 3 3 3,19610678,278,45146,25498896,1,5000000,24,203991
16162,2016/10/24,3 3 3 3 1 0 1 0 1 3 3 3 3 3,18970876,26344,460,26022066,205,88201,4689,1065
16163,2016/10/27,3 3 1 0 1 3 1 3 3 0 3 3 0 1,14279242,3165,2887,22844682,20,511720,606,7237
16164,2016/10/29,0 1 3 3 3 0 0 0 3 3 3 1 0 1,13315790,186,45817,7902700,0,0,6,252886
16165,2016/10/30,1 3 1 3 0 0 0 3 0 0 0 1 0 3,19002452,4230,2875,27618460,29,548740,965,5495
16166,2016/10/31,0 3 3 3 1 3 3 3 1 0 1 3 3 1,18087142,3042,3805,22564940,4,2527273,205,21133
16167,2016/11/3,1 0 0 3 3 0 3 0 3 1 1 3 3 1,14176142,6610,1372,35289958,29,545169,3858,1756
16168,2016/11/4,3 1 0 3 1 0 3 1 3 3 0 3 3 0,16365596,521,20103,18034252,5,1615868,142,24384
16169,2016/11/5,0 3 3 0 0 3 3 1 3 3 1 1 0 0,12348012,1828,4323,6765142,8,378847,131,9915
16170,2016/11/6,0 3 1 1 3 3 1 0 0 0 3 3 1 3,21597484,261,52959,25698236,0,0,12,411171
16171,2016/11/7,3 0 0 0 1 0 0 3 1 3 3 1 3 0,20502110,28017,468,42268316,399,76313,11357,714
16172,2016/11/12,1 3 0 3 3 3 3 0 3 0 3 0 3 3,12694150,301833,26,24496134,5944,1846,84676,55
16173,2016/11/14,0 1 3 1 0 0 3 3 3 3 3 3 3 3,8500662,661759,8,25945290,6836,1700,97292,51
16174,2016/11/16,0 1 1 0 3 1 1 1 1 3 3 3 3 3,15880238,589,17255,15508116,1,5000000,61,48812
16175,2016/11/19,0 1 3 1 0 0 3 1 3 3 0 0 3 1,13520496,126,68675,9733090,0,0,9,207639
16176,2016/11/20,0 1 1 0 3 3 3 0 1 3 0 0 3 3,19946386,1389,9190,27244718,8,2314211,230,22743
16177,2016/11/21,0 1 0 3 3 0 3 0 1 3 0 1 1 0,19792710,1406,9009,20738722,6,1548491,208,19143
16178,2016/11/24,1 3 3 0 1 3 0 3 1 1 1 1 0 3,16711216,907,11791,29866936,0,0,195,29407
16179,2016/11/25,3 3 1 1 3 0 3 3 3 1 1 3 0 3,16653150,924,11534,31895230,2,5000000,126,48602
